latitud 	longitud	ondulacion
-0.215145	-78.493594	27.472
-0.203396	-78.328534	27.524
0.000207	-78.428426	26.857
-0.041358	-78.593676	27.239
-0.1082	-78.530869	27.7
-0.083505	-78.541611	27.702
-0.194658	-78.493367	27.541
-0.184206	-78.498155	27.598
-0.129677	-78.518752	27.72
-0.107541	-78.527209	27.798
-0.086423	-78.537642	27.786
0.009263	-78.481949	27.282
0.008795	-78.500217	27.3
0.004826	-78.415756	27.037
-0.006933	-78.419077	27.044
-0.007782	-78.455647	27.153
0.006772	-78.463151	27.19
-0.00525	-78.466432	27.217
0.002787	-78.498312	27.322
-0.004921	-78.497101	27.364
0.022272	-78.496439	27.236
0.016637	-78.497991	27.264
0.022056	-78.46403	27.219
0.030751	-78.40833	27.025
-0.19163	-78.487231	27.492
-0.19234	-78.477593	27.59
-0.178977	-78.491255	27.572
-0.176432	-78.483902	27.512
-0.151846	-78.501997	27.673
-0.148701	-78.493529	27.598
-0.12565	-78.512792	27.683
-0.123484	-78.505643	27.665
-0.102143	-78.522378	27.746
-0.081901	-78.531208	27.739
-0.078147	-78.524487	27.694
-0.188182	-78.469933	27.407
-0.183511	-78.464236	27.474
-0.160886	-78.481926	27.465
-0.132054	-78.492828	27.58
-0.124738	-78.486968	27.544
-0.118378	-78.490448	27.603
-0.103189	-78.504908	27.699
-0.100263	-78.498488	27.637
-0.076929	-78.516291	27.691
-0.073491	-78.510575	27.58
-0.180174	-78.455541	27.338
-0.069092	-78.504429	27.507
-0.0763	-78.491259	27.51
-0.095306	-78.494158	27.544
-0.090711	-78.487521	27.454
-0.113628	-78.486266	27.564
-0.121194	-78.482071	27.552
-0.118779	-78.475644	27.476
-0.14696	-78.471596	27.406
-0.143283	-78.465568	27.379
-0.165666	-78.464938	27.385
-0.059942	-78.484721	27.336
-0.075452	-78.485956	27.518
-0.089072	-78.479446	27.473
-0.087411	-78.473738	27.404
-0.113603	-78.469875	27.422
-0.111345	-78.464165	27.392
-0.139825	-78.459937	27.366
-0.13618	-78.454614	27.349
-0.165329	-78.450321	27.266
-0.164391	-78.442092	27.27
-0.065912	-78.475221	27.319
-0.062981	-78.468635	27.34
-0.07608	-78.471374	27.29
-0.073294	-78.464098	27.265
-0.09422	-78.463652	27.388
-0.093256	-78.458371	27.383
-0.114806	-78.455756	27.358
-0.113186	-78.449309	27.279
-0.138116	-78.44486	27.249
-0.136502	-78.439839	27.227
-0.166244	-78.433375	27.223
-0.16314	-78.428312	27.176
-0.156544	-78.415675	27.091
-0.136565	-78.433767	27.203
-0.133809	-78.425296	27.114
