latitud	longitud	ondulacion
-0.13483	-78.37788	27.071
-0.13556	-78.37897	26.978
-0.22737	-78.43952	27.257
-0.22758	-78.43798	27.23
-0.16	-78.42193	27.159
-0.16112	-78.42266	27.159
-0.23136	-78.45843	27.238
-0.23111	-78.4571	27.24
-0.11863	-78.53238	27.836
-0.11861	-78.53137	27.809
-0.15293	-78.51057	27.775
-0.15276	-78.50951	27.831
-0.098	-78.5344	27.76
-0.0981	-78.53564	27.691
-0.15433	-78.50682	27.728
-0.15539	-78.50604	27.743
-0.2704	-78.50888	27.184
-0.27192	-78.50908	27.476
-0.31843	-78.53228	27.541
-0.3177	-78.53371	27.499
-0.15788	-78.47423	27.421
-0.1578	-78.47263	27.338
-0.29078	-78.49211	27.285
-0.28806	-78.49108	27.336
